id,index,content,proofed
453474,61,就是逃犯法,就是《逃犯法
453475,62,然后你看的感觉了吗,然后，你看到那感觉了
453476,63,就在,就在
453477,64,两天两个三天前,两到三天前，和美国
453478,65,和美国,和美国
453479,66,怎么官员我们吵架,的某官员，我们吵架
453480,67,他觉得香港,他觉得在香港
453481,68,这个苦恼不会放弃,产党不会放弃
453482,69,逃犯法律,逃犯法例
453483,70,所以说呢,所以他还
453484,71,他还是建议这样爱那样,他还是建议这样那样
453485,72,我跟他打击,我跟他大急
453486,73,我香港逃犯法律100%它的取消,说香港逃犯法例他百
453487,74,100%的取消,得取消
453488,75,林郑月娥,林郑月娥
453489,76,什么这个这个这个郑若骅,"！


林郑月娥，郑诺骅"
453490,77,卢伟聪李家超,吕伟聪，李家超
453491,78,说会不会是什么他一定会辞职,说他们一定会辞职！而且那些
453492,79,现在孩子必须得放回来,那些孩子，必须得放回来
453493,80,当初工为基础的过不调,当初郭文贵提出的「郭五条
453494,81,一样都不会少,一样都不会少
453495,82,最重要的事情最后说不行,最重要的事情，最后「双
453496,83,大家记住,大家记住
453497,84,双普选谁也挡不住,双普选」谁也挡不住
453498,85,共产党这是最大最牛叉的,共产党是世界上最大
453499,86,你看看海外星人,你看看海外欺民
453500,87,那些孙子们他的祖宗就是共产党,那些孙子们，他的祖宗就是共产党
453501,88,就是吹牛叉,就会吹牛叉
453502,89,一个人喊叫吗,一个个大嗓门
453503,90,啊动空调为什么孙子,良、郭宝胜这些孙子
453504,91,啊,嗓
453505,92,啊这个驴驴那个什么的啊,子，这个驴啥的，还
453506,93,还有这个事咯,还有屎诺
453507,94,还有那个啥呀量着保证这些孙子的畜生们,还有夏叶良、郭宝胜这些孙子，畜生们
453508,95,就是怕耽误你,就知道大嗓门
453509,96,你完了你没钱了你被遣返了,你完了，你没钱了，你要被遣返了
453510,97,想念就是共产党就这,天天就这样，共产党就这
453511,98,这种美国好把你石头砸自己的角1000年了你的号码了吗,这样。对著美国喊，搬起石头砸自己的脚，喊了一千年了
453512,99,你的脚丫,己的脚，喊
453513,100,动物说不怕了,动就说不怕
453514,101,不去了,不惧
453515,102,奉陪到底,奉陪到底
453516,103,下回香港人下不了多少年了22年了,吓唬香港人，吓唬他们多少年了？22年啦
453517,104,香港凡是被抓为大陆的闭嘴巴都干爽,香港凡是被抓回大陆的，闭嘴的，都该
453518,105,你咋不说话呢,你咋不说话呢
453519,106,削弱香港的孩子出来,香港凡是被抓回
453520,107,香港有些人是很不要脸的你知道吗不是都是英雄,香港有些人是很不要脸的，你知道么？不都是英雄
453521,108,有些内向富豪迈,有些富豪们、那些官
453522,109,有关杨的明星们要点点吗,有些富豪们、那些官员们、明星
453523,110,让的年轻的孩子走在大街上给你们正自由证安全,让这些年轻的孩子们走到大街上，给你们争自由、争安全
453524,111,要不要点点,要不要点儿脸
453525,112,逃犯法,逃犯法
453526,113,竖中挣钱了,寿终正寝了
453527,114,谁干的事年香港的年轻学生们干的,谁干的？是香港的年轻的学生们
453528,115,所以说战友们,所以说，战友们
453529,116,在香港可以看出来,在香港可以看出来
453530,117,就这过去的70年,就这过去的七十年
453531,118,几个年代的人都被共产党给弄得精神上被强奸了,几个年代的人，都没有共产党给弄的，精神上被强奸了
453532,119,没勇气没中意,没勇气、没正义
453533,120,两点人性都没有都将这帮就海外的,连点儿人性都没有，都像这帮海外
453534,121,这些孙子要啊咱占有我在我的官媒体上这个留言吗这个100000的是什么日子,"这帮海外的孙子一样。


咱战友在我的郭媒体上留言，骂这个希诺的，什么“日"
453535,122,这个不是主中啊,这个希诺的，什
453536,123,这是在清扬10000回家,这帮海外的孙子一样
453537,124,什么是猥琐的青阳的女儿意外会这话真的不能再说了,什么“日他八辈祖宗”啊！什么“日他亲娘一万回”呀！什么
453538,125,你能不能再给我留这个也不能这么留着不好,能在郭媒体上留这样的言，不能这么留，这不好！特
453539,126,特别是这个这个我昨天我看到很多人我马上就给你屏蔽掉啊,特别是我昨天看到很多人……我马上就给你屏蔽掉。什
453540,127,什么是日降雨量在这个老婆这个家人1万年的这话这不能说这是不对的,什么“日夏业良的老婆、家人一万年”的，这话不能说，这是不对的。我再看
453541,128,我在看了一个评比你那个,我再看到一个就屏蔽你一个
453542,129,你给我宝是你本人家这个妈妈他老婆干嘛郭宝胜他混蛋他老婆不分担你不要这么慢了一点,你骂他老婆干嘛？郭宝胜混蛋，他老婆不混蛋，你不要这么骂人家。是不是？特别是骂屎诺，“日屎诺他老娘一
453543,130,是不是你特别是那个没死呢,是不是？特别是骂屎诺，“日屎
453544,131,说这个你什么娘这个1万年的10000个驴子的娘这是不好的你这个战友们咱不能学堂,"年”的，“一万个驴日他娘”，这是不好的。


战友们，咱不能学他们，咱不能学他们，不管是战友还"
453545,132,他们不能学他们,他们，咱不能学他们
453546,133,我见一个不管是站有谁见给我来一个,我见一个我拉黑一个，见一个我拉黑一个，这
453547,134,建议给我来一个绝对是不可以的,见一个我拉黑一个，这绝对是不可以
453548,135,所以说战友们,所以说，战友们
453549,136,咱们可以表达,咱们可以表达
453550,137,这个合法的义理的表达不学这些违背,达，合法地、依理地表达！不学这些伪
453551,138,不许共产党,不学共产党
453552,139,格老子天天麻辣鸡,国，骂！天天骂。然
453553,140,要点点漫英国漫美国马天天吗,要点儿脸不？骂英国、骂美国，骂！天天骂
453554,141,然后他可以吗他不让别人吗,然后，他可以骂，他不让别人骂
453555,142,香港人和咱们大乱说表达一下都不行,香港人、大陆人想表达一下都不可
453556,143,表达一下不同一个不行,表达一下“不同意“都不行
453557,144,昨天,昨天
453558,145,林郑月娥出来以后世界沸腾,林郑月娥出来以后，世界沸腾
453559,146,我到现在我没看完,我到现在也没看完
453560,147,大家为大家分享一下你会想手机安全,大家分享一下，你们想要手机安全，不一
453561,148,不一定能做到,不一定每个人能做
453562,149,如果你确实需要安全的话,如果你确实需要安全的话
453563,150,我告诉大家几个小小窍门啊,我告诉大家几个小窍门
453564,151,Keroro人联系的,欧洲人联系的
453565,152,比如德国人就用得买个手机什么开始都是可以的,比如跟德国联系，买个手机，开始都是德语的，什么
453566,153,什么都是多余的,什么都是德语的
453567,154,然后你只发语音不要发中文字,然后你只发语音，不要发中文字
453568,155,就别个中文有半点玩意当然你会任何手机不能下中文的软件了啊,别和中文有半点儿关系。当然，你任何手机都不能下中文的软件了啊
453569,156,这个表过来,只和德国联
453570,157,打开英国了你就在英国买个手机用英国的联系只发语音谦和地方文字,系。然后，在英国的，买个英国的手机，用英文联系，只发语音，千万别发汉字。最
453571,158,啊最好是用什么用这个,最好是用苹果
453572,159,苹果的软件的发语音,苹果的软件来发语音
453573,160,或者是需要文字你怕发照片,或者是需要文字，你发照片
453574,161,那就不要有任何打字不要有任何汉字,就不要有任何打字，不要有任何汉字
453575,162,然后呢这些不同国家比如日本的英国的德国的着手机永远不要放一起,然后呢，这些不同的国家，比如日本的、英国的、德国的，这手机，永远不要放一起
453576,163,永远不要出现的一个房间里,永远不要出现在一个房间
453577,164,绝对不能用WiFi的肯定不会玩牌了,绝对不能用WiFi，肯定不能用WiFi了
453578,165,然后勇敢让他不在一起,然后，永远不让它们在一起
453579,166,独立的地方独立的语言独立的手机然后你就完全一定时间你就扔掉,独立的地方、独立的语言、独立的手机，然后你就安全了，一定时间你就把它扔掉
453580,167,当然了我有几个其他重新系统,当然，我有几个其他通讯系统
453581,168,好几个同系统,好几个通讯系统
453582,169,那么,怎么
453583,170,战友们这是我因为很多战友给我留言问怎么通信安全为大家分享一下,"战友留言，问怎么通讯安全？我给大家分享一下喔！


另外一个，昨天和前天，有"
453584,171,另外一个这个昨天和前天,另外一个，昨天和前天
453585,172,有战友啊这个给这个法子基金捐了大钱,有战友给法治基金捐了大钱。然后问
453586,173,然后呢问我说这个有人要捐钱他在中间,然后问我，说有人要捐钱，他在中间
453587,174,再如说人家赚大钱有什么样的奖励,在中间游说人家捐大钱，有什么样的
453588,175,我有这事啊,为这事
453589,176,Welcome法是几年的时候谈过,我也跟法治基金基金的律师谈过，「
453590,177,法治社会和法的几家都有都有了一定的政策,法治社会」和「法治基金」都有了一定的政策
453591,178,应该是啊我我今天我不决定我就问一下,应该是啊……我现在不确定，我得问一下
453592,179,如果是超过,如果是超过
453593,180,超过50000美元,超过五万美元
453594,181,捐款一次性的是由你带进来的,的一次性捐款，是由你带进来的
453595,182,是有一个很大的奖励的,是有一个很大的奖励的
453596,183,很大的奖励我不知道是多少啊这个问一下半农先生,很大的奖励！我不知道多少，我真得问一下班农先生，还
453597,184,还有这个卡卫士,还有凯尔巴斯，还
453598,185,和他们的诗但是我当时他们这个三辆的生存给我谈过,"们律师。


但是，当时他们商量的时候跟我谈过"
453599,186,应该啊应该我我没有记错的话,应该啊应该……我若是没有记错的
453600,187,是有10%到20的现金给予,是有10%～20%的现金给予
453601,188,我这个我不确定啊我这也不负责任,我不确定啊，我这一概不负责任
453602,189,让另外一个你可以10% 20报销,然后，另外一个，你可以有10%～20%的报销
453603,190,大哥的啊,大额的啊
453604,191,一定是万美金以上的就报销制按美国法律按着美国的法律,一定是五万美金以上的就报销，这是按美国法律，按照美国的法律
453605,192,就是报效意味着你不要你也合理的开支你可以就报销另外20%,"就是说，报销……比如你有合理的开支，你可以去报销。


另外20%"
453606,193,是可以这个给中间人的,是给中间人的，作为
453607,194,作为奖奖励了,作为奖励得。但
453608,195,但是具体什么情况我现在说的不知道多少回头问一下所以战友们,但是具体什么情况我现在说了不算数啊，回头我问一下。所以战友们
453609,196,关于这个问题你看法子基金的公告,关于这个问题，你看法治基金的公告
453610,197,我已经给他们刚才留言了叫他们给你给未来回复啊未来回复,"我已经给他们留言了，叫他们未来给回复。


另外一个就是昨天"
453611,198,那么所以我的战友们另外一个就是昨天很多回复关香港的事情的,"他们未来给回复。


另外一个就是昨天关于香港的事情的很多回复，香"
453612,199,说什么是香港街的还有行动,是昨天关于香港的事情的很多
453613,200,香港如果有油种的男人,香港如果有有种的男人
453614,201,再见棺材完以前别绑架自己的儿女子孙,在进棺材板以前，别绑架自己的儿女，子孙
453615,202,想让他们在你们听上拉接去,香港的上街抗议，不是一切
453616,203,香港的交通香港的道路,香港的交通，香港的道路
453617,204,香港的唱上街抗议,香港的上街抗议
453618,205,不是一切都是刚刚开始连开始都没开始,不是一切都是刚刚开始，连开始都没开始
453619,206,连开始都没开始,连开始都没开始
453620,207,我不会说啥我啥也说不了,"我不配说啥，我啥也做不了。

"
453621,208,又来了一个又一个这个刚才你看这上面显示的信息,又来了，有一个刚才上面显示的信息，说一个捐
453622,209,说这个,说一个
453623,210,一个捐150000美元的是一个,一个捐15万美元的，人家说
453624,211,人家说服了是一个,人家说服了美国
453625,212,美国的一个教育基金,美国的教育基金
453626,213,就是说来捐150000美元然后给什么奖励,基金，来捐15万美元，然后给什么奖励
453627,214,法治基金当时是说多少好像是,法治基金当时是说多少，好像是
453628,215,他们说50%的和单的50%吗,15万美元，然后给什么
453629,216,我人就跟你赚钱你别老想着,我说你那胡扯呢。人家给你捐钱呢，你
453630,217,你给你给你给你捐钱了啊你给了5%这位都干不成大事,呢。人家给你捐钱呢，你给人家5%，我说你干不成大
453631,218,人家捐多少,人家捐多少
453632,219,不是这个钱都是你,少，这钱都是法治基
453633,220,法治基金的力量人家去游说就人家花本田人家花资源,法治基金的力量，人家去游说去，人家花本钱，人家花资源
453634,221,我建议是40%然后的他们就是好像定有20%是现金20%,我建议是40%，然后最后他们定了20%是现金，20%是给报销
453635,222,不是给报销具体什么你们看房子的网站,是给报销，具体的你们看法治基金网站
453636,223,但是是从50000什么年开始就不知道这个,但是是从五万还是十万美元开始起我不
453637,224,16的不算数就是那个不算是自然这样款的,的不算数，那是私人捐款的，超过这个数
453638,225,超过这个数的就是可以的,超过这个数的都是可以的
453639,226,不是外界观看公告之刚才又发了这个,"万就是十万，看公告。


所以战友们，我介"
453640,227,最占有吗,以战友们
453641,228,我见说香港接下来的上街运动啊,我介绍一下香港接下来的上街运动
453642,229,大家会看到,大家会看到
453643,230,香港经过这些,香港经过这些
453644,231,啊负号的要不要脸的还有那个王八蛋明星们,不要脸的，还有那些王八蛋明星们，坏
453645,232,坏的了良心的,坏尽了良心的
453646,233,他相信会受到谴责,他良心会受到谴责
453647,234,香港就在,香港就在
453648,235,中环到九龙车站,中环到九龙车站
453649,236,到九龙治水到一处建一个最大的香港一个名最后就是火葬场,到九龙车站隧道一出去，有一个最大的火葬场，大家看到了吗，一出去就是
453650,237,大家看了吗一出去就和他说,大家看到了吗，一出去就是火
453651,238,当年我从监狱的从那个看守所出来,当你我从看守所出来，第一个要跟
453652,239,给我合作的就是火葬场的家族后来是没喝过程,跟我合作的就是火葬场的家族，后来是没合作成，还
453653,240,后来是,后来是
453654,241,还好跟人家合作就跟别的合作了那个火葬场,还好跟他没合作成，就跟别人合作了。那个火葬
453655,242,未来更多的人都要看到是因为在香港这次正义的抗结义型的闹钟,未来大家要看到，更多的人是因为在香港这次正义的抗议上街行动
453656,243,因为你失去了做人的良知你太自私了,因为你失去了做人的良知，你太自私了
453657,244,有些明星太不要脸了还有符号你就要提早进入的样子,有些明星太不要脸了，还有富豪，你就要提早进入到那地
453658,245,香港怎么能买到你们这种垃圾呢对不对呀这么香的香港,香港怎么能埋葬你们这种垃圾呢？这么香的香港
453659,246,香港接下来的上接运动,香港接下来的上街运动
453660,247,各种车辆交通的运动,各种车辆交通的运动
453661,248,还有香港的,还有香港的
453662,249,更加和平的和平运动,更加和平的和平运动
453663,250,希望香港的明星和香港人,希望香港的明星和香港的
453664,251,所谓的富豪们,所谓的富豪们
453665,252,上个人要站出来,像个人样，站出来
453666,253,张永安,战友们
453667,254,香港的,香港的
453668,255,连开始都没开始的运动,连开始都没开始的运动
453669,256,大家,大家
453670,257,记住全力以赴任职责,记住，全力以赴地支
453671,258,我再次要香港的所有的朋友们,我再次向香港的所有朋友们说
453672,259,只要法师基金只要过媒体郭文贵能拿出来的东西你们是我们全力支持,只要法治基金，只要郭文贵能拿出来的东西，我们全力支持。所有的结果
453673,260,所有的结果所有的最后的努力都是荣耀归香港人都是香港人努力的但是没,所有的结果，所有的努力，荣耀归香港人，都是香港人努力的，但是没有美国是
453674,261,没有美国是不可能的这几天美国接下来的行动还会更多,没有美国是不可能的。这几天美国接下来的行动还会更多
453675,262,大招在这儿了你们在这行动你们的,大招，在这儿呢！你们在那儿行动你们的
453676,263,好吧亲爱的战友们一切都是刚刚开始为14亿中国人民,"亲爱的战友们，一切都是刚刚开始。


为十四亿中国人民"
453677,264,为香港人台胞祈福把我在这就不打这边长了因为很多人会建议做,"为十四亿中国人民，香港人民，台湾人民祈福🙏


哦，这噪音，看到后面了吗"
453678,265,17不是说现在查我那我这样我我在我和堂姐夫就不打人那么长时间了好吧,哦，这噪音，看到后面了吗？安防弹玻璃，必须强迫我安防弹玻璃，防弹门。你说多
453679,266,阿弥陀佛,你说多
453680,267,不但有大家时间了,说多烦啊。但是没
453681,268,一切都是个二这个噪音啊,璃，防弹门。你说多烦啊
453682,269,看到后面了吗,看到后面了吗
453683,270,好好吗,看到后面
453684,271,这样安防弹玻璃,面了吗？安防弹玻璃
453685,272,这必须强了我该防弹玻璃防弹们一顿饭呢,璃，必须强迫我安防弹玻璃，防弹门。你说多烦
453686,273,哎呀烦死了但是没办法让把咋弄啊,璃，防弹门。你说多烦啊。但是没办法，安吧
